index,input_path,output_path,input_bytes,segments,errors,elapsed_s_wall,elapsed_s_device
1,/mnt/nvme/openwebtext_disk/data-00000-of-00080.arrow,/mnt/nvme/openweb_bin_ndp/slots_1/data-00000-of-00080.bin,498143232,3801,0,131.61140413908288,131.60889037695313
2,/mnt/nvme/openwebtext_disk/data-00001-of-00080.arrow,/mnt/nvme/openweb_bin_ndp/slots_1/data-00001-of-00080.bin,502267904,3832,0,133.14828653587028,133.14345823339843
3,/mnt/nvme/openwebtext_disk/data-00002-of-00080.arrow,/mnt/nvme/openweb_bin_ndp/slots_1/data-00002-of-00080.bin,500342784,3818,0,132.39554656017572,132.39195602929686
4,/mnt/nvme/openwebtext_disk/data-00003-of-00080.arrow,/mnt/nvme/openweb_bin_ndp/slots_1/data-00003-of-00080.bin,500502528,3819,0,132.77946278406307,132.7758759370117
5,/mnt/nvme/openwebtext_disk/data-00004-of-00080.arrow,/mnt/nvme/openweb_bin_ndp/slots_1/data-00004-of-00080.bin,494620672,3774,0,130.21002073166892,130.2064954453125
6,/mnt/nvme/openwebtext_disk/data-00005-of-00080.arrow,/mnt/nvme/openweb_bin_ndp/slots_1/data-00005-of-00080.bin,495824896,3783,0,130.6262273620814,130.6219383540039
7,/mnt/nvme/openwebtext_disk/data-00006-of-00080.arrow,/mnt/nvme/openweb_bin_ndp/slots_1/data-00006-of-00080.bin,499822592,3814,0,132.30608984502032,132.3024699638672
8,/mnt/nvme/openwebtext_disk/data-00007-of-00080.arrow,/mnt/nvme/openweb_bin_ndp/slots_1/data-00007-of-00080.bin,493248512,3764,0,129.45074469503015,129.4472830600586
9,/mnt/nvme/openwebtext_disk/data-00008-of-00080.arrow,/mnt/nvme/openweb_bin_ndp/slots_1/data-00008-of-00080.bin,497319936,3795,0,130.1046736300923,130.10110371484376
10,/mnt/nvme/openwebtext_disk/data-00009-of-00080.arrow,/mnt/nvme/openweb_bin_ndp/slots_1/data-00009-of-00080.bin,497508352,3796,0,130.83627531304955,130.83201672070314
11,/mnt/nvme/openwebtext_disk/data-00010-of-00080.arrow,/mnt/nvme/openweb_bin_ndp/slots_1/data-00010-of-00080.bin,496783360,3791,0,131.21391458902508,131.21025447314454
12,/mnt/nvme/openwebtext_disk/data-00011-of-00080.arrow,/mnt/nvme/openweb_bin_ndp/slots_1/data-00011-of-00080.bin,498339840,3803,0,131.3758334503509,131.37233180273438
13,/mnt/nvme/openwebtext_disk/data-00012-of-00080.arrow,/mnt/nvme/openweb_bin_ndp/slots_1/data-00012-of-00080.bin,496779264,3791,0,130.88239214615896,130.87871490722657
14,/mnt/nvme/openwebtext_disk/data-00013-of-00080.arrow,/mnt/nvme/openweb_bin_ndp/slots_1/data-00013-of-00080.bin,495456256,3781,0,130.52588090207428,130.52184576171874
15,/mnt/nvme/openwebtext_disk/data-00014-of-00080.arrow,/mnt/nvme/openweb_bin_ndp/slots_1/data-00014-of-00080.bin,499769344,3813,0,131.7375135300681,131.73381585009767
16,/mnt/nvme/openwebtext_disk/data-00015-of-00080.arrow,/mnt/nvme/openweb_bin_ndp/slots_1/data-00015-of-00080.bin,498499584,3804,0,131.89738373970613,131.89332545898438
17,/mnt/nvme/openwebtext_disk/data-00016-of-00080.arrow,/mnt/nvme/openweb_bin_ndp/slots_1/data-00016-of-00080.bin,500183040,3817,0,131.55118879396468,131.5476015991211
18,/mnt/nvme/openwebtext_disk/data-00017-of-00080.arrow,/mnt/nvme/openweb_bin_ndp/slots_1/data-00017-of-00080.bin,495312896,3779,0,130.49632513476536,130.49209460205077
19,/mnt/nvme/openwebtext_disk/data-00018-of-00080.arrow,/mnt/nvme/openweb_bin_ndp/slots_1/data-00018-of-00080.bin,495083520,3778,0,130.6676929332316,130.66409565087892
20,/mnt/nvme/openwebtext_disk/data-00019-of-00080.arrow,/mnt/nvme/openweb_bin_ndp/slots_1/data-00019-of-00080.bin,495648768,3782,0,130.39328553108498,130.3897442734375
21,/mnt/nvme/openwebtext_disk/data-00020-of-00080.arrow,/mnt/nvme/openweb_bin_ndp/slots_1/data-00020-of-00080.bin,499687424,3813,0,131.6772342780605,131.6734149140625
22,/mnt/nvme/openwebtext_disk/data-00021-of-00080.arrow,/mnt/nvme/openweb_bin_ndp/slots_1/data-00021-of-00080.bin,498987008,3807,0,132.0145831736736,132.01027769677734
23,/mnt/nvme/openwebtext_disk/data-00022-of-00080.arrow,/mnt/nvme/openweb_bin_ndp/slots_1/data-00022-of-00080.bin,500527104,3819,0,131.7680705417879,131.7644497241211
24,/mnt/nvme/openwebtext_disk/data-00023-of-00080.arrow,/mnt/nvme/openweb_bin_ndp/slots_1/data-00023-of-00080.bin,502534144,3835,0,132.35793841304258,132.35438996679687
25,/mnt/nvme/openwebtext_disk/data-00024-of-00080.arrow,/mnt/nvme/openweb_bin_ndp/slots_1/data-00024-of-00080.bin,493568000,3766,0,129.83111894596368,129.8273736533203
26,/mnt/nvme/openwebtext_disk/data-00025-of-00080.arrow,/mnt/nvme/openweb_bin_ndp/slots_1/data-00025-of-00080.bin,499011584,3808,0,130.71540968120098,130.7111364951172
27,/mnt/nvme/openwebtext_disk/data-00026-of-00080.arrow,/mnt/nvme/openweb_bin_ndp/slots_1/data-00026-of-00080.bin,494030848,3770,0,130.23657352710143,130.23289665332032
28,/mnt/nvme/openwebtext_disk/data-00027-of-00080.arrow,/mnt/nvme/openweb_bin_ndp/slots_1/data-00027-of-00080.bin,495431680,3780,0,129.5549930948764,129.55141114208985
29,/mnt/nvme/openwebtext_disk/data-00028-of-00080.arrow,/mnt/nvme/openweb_bin_ndp/slots_1/data-00028-of-00080.bin,496836608,3791,0,129.2967632249929,129.29310847998048
30,/mnt/nvme/openwebtext_disk/data-00029-of-00080.arrow,/mnt/nvme/openweb_bin_ndp/slots_1/data-00029-of-00080.bin,497508352,3796,0,130.71389259025455,130.7097985419922
31,/mnt/nvme/openwebtext_disk/data-00030-of-00080.arrow,/mnt/nvme/openweb_bin_ndp/slots_1/data-00030-of-00080.bin,491638784,3751,0,129.97391151078045,129.9702274819336
32,/mnt/nvme/openwebtext_disk/data-00031-of-00080.arrow,/mnt/nvme/openweb_bin_ndp/slots_1/data-00031-of-00080.bin,497504256,3796,0,132.13674760889262,132.1330703959961
33,/mnt/nvme/openwebtext_disk/data-00032-of-00080.arrow,/mnt/nvme/openweb_bin_ndp/slots_1/data-00032-of-00080.bin,498544640,3804,0,131.8622234640643,131.8586100180664
34,/mnt/nvme/openwebtext_disk/data-00033-of-00080.arrow,/mnt/nvme/openweb_bin_ndp/slots_1/data-00033-of-00080.bin,495263744,3779,0,130.92627286724746,130.9220273330078
35,/mnt/nvme/openwebtext_disk/data-00034-of-00080.arrow,/mnt/nvme/openweb_bin_ndp/slots_1/data-00034-of-00080.bin,498233344,3802,0,132.33883781637996,132.3351283984375
36,/mnt/nvme/openwebtext_disk/data-00035-of-00080.arrow,/mnt/nvme/openweb_bin_ndp/slots_1/data-00035-of-00080.bin,495263744,3779,0,131.2370537351817,131.2333432109375
37,/mnt/nvme/openwebtext_disk/data-00036-of-00080.arrow,/mnt/nvme/openweb_bin_ndp/slots_1/data-00036-of-00080.bin,498905088,3807,0,132.1900264522992,132.18636338671874
38,/mnt/nvme/openwebtext_disk/data-00037-of-00080.arrow,/mnt/nvme/openweb_bin_ndp/slots_1/data-00037-of-00080.bin,497147904,3793,0,131.28188098873943,131.2776332890625
39,/mnt/nvme/openwebtext_disk/data-00038-of-00080.arrow,/mnt/nvme/openweb_bin_ndp/slots_1/data-00038-of-00080.bin,496705536,3790,0,130.45087268622592,130.44716398193358
40,/mnt/nvme/openwebtext_disk/data-00039-of-00080.arrow,/mnt/nvme/openweb_bin_ndp/slots_1/data-00039-of-00080.bin,495689728,3782,0,131.20362617308274,131.20001320605468
41,/mnt/nvme/openwebtext_disk/data-00040-of-00080.arrow,/mnt/nvme/openweb_bin_ndp/slots_1/data-00040-of-00080.bin,499183616,3809,0,130.99515736987814,130.99136712890626
42,/mnt/nvme/openwebtext_disk/data-00041-of-00080.arrow,/mnt/nvme/openweb_bin_ndp/slots_1/data-00041-of-00080.bin,500314112,3818,0,131.77808221708983,131.7739292133789
43,/mnt/nvme/openwebtext_disk/data-00042-of-00080.arrow,/mnt/nvme/openweb_bin_ndp/slots_1/data-00042-of-00080.bin,496242688,3787,0,131.2875946997665,131.2838073569336
44,/mnt/nvme/openwebtext_disk/data-00043-of-00080.arrow,/mnt/nvme/openweb_bin_ndp/slots_1/data-00043-of-00080.bin,502185984,3832,0,131.16582368314266,131.16229760791015
45,/mnt/nvme/openwebtext_disk/data-00044-of-00080.arrow,/mnt/nvme/openweb_bin_ndp/slots_1/data-00044-of-00080.bin,495841280,3783,0,129.9526338847354,129.94903829785156
46,/mnt/nvme/openwebtext_disk/data-00045-of-00080.arrow,/mnt/nvme/openweb_bin_ndp/slots_1/data-00045-of-00080.bin,498774016,3806,0,132.5908520319499,132.58663863085937
47,/mnt/nvme/openwebtext_disk/data-00046-of-00080.arrow,/mnt/nvme/openweb_bin_ndp/slots_1/data-00046-of-00080.bin,497451008,3796,0,131.44472541101277,131.4409972524414
48,/mnt/nvme/openwebtext_disk/data-00047-of-00080.arrow,/mnt/nvme/openweb_bin_ndp/slots_1/data-00047-of-00080.bin,497459200,3796,0,131.52271953970194,131.51912676708983
49,/mnt/nvme/openwebtext_disk/data-00048-of-00080.arrow,/mnt/nvme/openweb_bin_ndp/slots_1/data-00048-of-00080.bin,497385472,3795,0,130.43185567110777,130.42823369873048
50,/mnt/nvme/openwebtext_disk/data-00049-of-00080.arrow,/mnt/nvme/openweb_bin_ndp/slots_1/data-00049-of-00080.bin,496238592,3786,0,130.0850520483218,130.0807967758789
51,/mnt/nvme/openwebtext_disk/data-00050-of-00080.arrow,/mnt/nvme/openweb_bin_ndp/slots_1/data-00050-of-00080.bin,499118080,3808,0,131.89461170090362,131.8909446748047
52,/mnt/nvme/openwebtext_disk/data-00051-of-00080.arrow,/mnt/nvme/openweb_bin_ndp/slots_1/data-00051-of-00080.bin,501788672,3829,0,132.23336555808783,132.22976991503907
53,/mnt/nvme/openwebtext_disk/data-00052-of-00080.arrow,/mnt/nvme/openweb_bin_ndp/slots_1/data-00052-of-00080.bin,499212288,3809,0,131.67715110071003,131.6734910102539
54,/mnt/nvme/openwebtext_disk/data-00053-of-00080.arrow,/mnt/nvme/openweb_bin_ndp/slots_1/data-00053-of-00080.bin,493711360,3767,0,130.34983712481335,130.34563780908204
55,/mnt/nvme/openwebtext_disk/data-00054-of-00080.arrow,/mnt/nvme/openweb_bin_ndp/slots_1/data-00054-of-00080.bin,498941952,3807,0,131.17017506808043,131.16655633398437
56,/mnt/nvme/openwebtext_disk/data-00055-of-00080.arrow,/mnt/nvme/openweb_bin_ndp/slots_1/data-00055-of-00080.bin,497106944,3793,0,131.43175122514367,131.42812647607423
57,/mnt/nvme/openwebtext_disk/data-00056-of-00080.arrow,/mnt/nvme/openweb_bin_ndp/slots_1/data-00056-of-00080.bin,498933760,3807,0,131.39658547425643,131.39292887011717
58,/mnt/nvme/openwebtext_disk/data-00057-of-00080.arrow,/mnt/nvme/openweb_bin_ndp/slots_1/data-00057-of-00080.bin,494624768,3774,0,130.35922291502357,130.35497858740234
59,/mnt/nvme/openwebtext_disk/data-00058-of-00080.arrow,/mnt/nvme/openweb_bin_ndp/slots_1/data-00058-of-00080.bin,498544640,3804,0,131.22149607306346,131.21781825292967
60,/mnt/nvme/openwebtext_disk/data-00059-of-00080.arrow,/mnt/nvme/openweb_bin_ndp/slots_1/data-00059-of-00080.bin,495886336,3784,0,130.33704536221921,130.3333389379883
61,/mnt/nvme/openwebtext_disk/data-00060-of-00080.arrow,/mnt/nvme/openweb_bin_ndp/slots_1/data-00060-of-00080.bin,494624768,3774,0,130.18592035910115,130.18219409814452
62,/mnt/nvme/openwebtext_disk/data-00061-of-00080.arrow,/mnt/nvme/openweb_bin_ndp/slots_1/data-00061-of-00080.bin,497430528,3796,0,130.8554144059308,130.85127593164063
63,/mnt/nvme/openwebtext_disk/data-00062-of-00080.arrow,/mnt/nvme/openweb_bin_ndp/slots_1/data-00062-of-00080.bin,495509504,3781,0,130.9346176139079,130.93102786669922
64,/mnt/nvme/openwebtext_disk/data-00063-of-00080.arrow,/mnt/nvme/openweb_bin_ndp/slots_1/data-00063-of-00080.bin,494723072,3775,0,130.32908688113093,130.3254583701172
65,/mnt/nvme/openwebtext_disk/data-00064-of-00080.arrow,/mnt/nvme/openweb_bin_ndp/slots_1/data-00064-of-00080.bin,498024448,3800,0,131.38621946703643,131.38264342724608
66,/mnt/nvme/openwebtext_disk/data-00065-of-00080.arrow,/mnt/nvme/openweb_bin_ndp/slots_1/data-00065-of-00080.bin,496451584,3788,0,130.54985622223467,130.54571541992186
67,/mnt/nvme/openwebtext_disk/data-00066-of-00080.arrow,/mnt/nvme/openweb_bin_ndp/slots_1/data-00066-of-00080.bin,492187648,3756,0,129.51098378701136,129.50743913964843
68,/mnt/nvme/openwebtext_disk/data-00067-of-00080.arrow,/mnt/nvme/openweb_bin_ndp/slots_1/data-00067-of-00080.bin,496021504,3785,0,130.79542430816218,130.79177290820311
69,/mnt/nvme/openwebtext_disk/data-00068-of-00080.arrow,/mnt/nvme/openweb_bin_ndp/slots_1/data-00068-of-00080.bin,498229248,3802,0,132.91260187607259,132.9088483569336
70,/mnt/nvme/openwebtext_disk/data-00069-of-00080.arrow,/mnt/nvme/openweb_bin_ndp/slots_1/data-00069-of-00080.bin,495190016,3778,0,131.1119810086675,131.10844413085937
71,/mnt/nvme/openwebtext_disk/data-00070-of-00080.arrow,/mnt/nvme/openweb_bin_ndp/slots_1/data-00070-of-00080.bin,493363200,3765,0,130.89447503210977,130.89083277685546
72,/mnt/nvme/openwebtext_disk/data-00071-of-00080.arrow,/mnt/nvme/openweb_bin_ndp/slots_1/data-00071-of-00080.bin,494780416,3775,0,130.74421282112598,130.74065816601563
73,/mnt/nvme/openwebtext_disk/data-00072-of-00080.arrow,/mnt/nvme/openweb_bin_ndp/slots_1/data-00072-of-00080.bin,496668672,3790,0,130.40017946623266,130.39652656640624
74,/mnt/nvme/openwebtext_disk/data-00073-of-00080.arrow,/mnt/nvme/openweb_bin_ndp/slots_1/data-00073-of-00080.bin,493916160,3769,0,130.76128881098703,130.7576523959961
75,/mnt/nvme/openwebtext_disk/data-00074-of-00080.arrow,/mnt/nvme/openweb_bin_ndp/slots_1/data-00074-of-00080.bin,493703168,3767,0,131.74451093701646,131.74042089892578
76,/mnt/nvme/openwebtext_disk/data-00075-of-00080.arrow,/mnt/nvme/openweb_bin_ndp/slots_1/data-00075-of-00080.bin,498425856,3803,0,131.99808716680855,131.99437405371094
77,/mnt/nvme/openwebtext_disk/data-00076-of-00080.arrow,/mnt/nvme/openweb_bin_ndp/slots_1/data-00076-of-00080.bin,497700864,3798,0,131.4857229590416,131.48227869189452
78,/mnt/nvme/openwebtext_disk/data-00077-of-00080.arrow,/mnt/nvme/openweb_bin_ndp/slots_1/data-00077-of-00080.bin,498552832,3804,0,131.36753814388067,131.3638747182617
79,/mnt/nvme/openwebtext_disk/data-00078-of-00080.arrow,/mnt/nvme/openweb_bin_ndp/slots_1/data-00078-of-00080.bin,494243840,3771,0,130.3597456808202,130.3557493017578
80,/mnt/nvme/openwebtext_disk/data-00079-of-00080.arrow,/mnt/nvme/openweb_bin_ndp/slots_1/data-00079-of-00080.bin,497881088,3799,0,131.01887961896136,131.0151561870117
